"Year","Species","Pounds","Dollars","Habitat"
2002,"SPEARFISHES **",313627,377155.660496703,"Pelagic"
2002,"TUNA, ALBACORE",1640907,2700294.2834892,"Pelagic"
2002,"TUNA, KAWAKAWA",8839,12228.0197224905,"Pelagic"
2002,"TUNA, SKIPJACK",949209,1690874.69141646,"Pelagic"
2002,"FLYINGFISHES **",4,9.81719670345606,"Pelagic"
2002,"MARLIN, STRIPED",611826,1376572.9315853,"Pelagic"
2002,"MULLET, STRIPED",7454,33914.2072404249,"Fishpond"
2002,"PARROTFISHES **",48844,173777.00376122,"Reef"
2002,"RUNNER, RAINBOW",4445,8228.2132941681,"Reef"
2002,"SHARKS, MAKO **",176232,113503.623372015,"Pelagic"
2002,"TUNA, YELLOWFIN",2608935,8292960.51134074,"Pelagic"
2002,"SURGEONFISHES **",131872,254301.858492982,"Reef"
2002,"TRIGGERFISHES **",2370,4560.7890970913,"Reef"
2002,"CUCUMBERS, SEA **",196,980.317213673684,"Reef"
2002,"MACKEREL, FRIGATE",84,180.916910677976,"Pelagic"
2002,"SCORPIONFISHES **",2759,16424.170084882,"Reef"
2002,"SHRIMP, MARINE **",449,4720.66915769044,"Deep"
2002,"SNAPPER, GLASSEYE",3726,14216.7032832763,"Reef"
