"Year","NMFS Name","Pounds","Metric Tons","Dollars","Confidentiality","Collection","Scientific Name","Tsn"
"1993","TUNA, SKIPJACK","2,396,000","1,087","2,808,000","Public","Commercial","Katsuwonus pelamis","172401"
"1993","SEA BASS, GIANT","154,000","70","435,000","Public","Commercial","Stereolepis gigas","167918"
"1993","TUNA, YELLOWFIN","3,710,000","1,683","8,184,000","Public","Commercial","Thunnus albacares","172423"
"1993","VERTEBRATES, JAWED","1,893,000","859","3,374,000","Public","Commercial","Gnathostomata ","914179"
"1993","SHRIMPS, PENAEID **","32,000","15","163,000","Public","Commercial","Penaeidae","95602"
"1993","SQUIDS, LOLIGINIDAE **","2,000","1","5,000","Public","Commercial","Loliginidae","82369"
"1993","LOBSTER, CARIBBEAN SPINY","3,000","1","22,000","Public","Commercial","Panulirus argus","97648"
"1993","SNAPPERS, LUTJANIDAE (FAMILY) **","644,000","292","2,453,000","Public","Commercial","Lutjanidae","168845"
"1993","SHARKS, CHONDRICHTHYES (CLASS) **","2,605,000","1,182","2,916,000","Public","Commercial","Chondrichthyes","159785"
"1994","SAILFISH","1,000","0","1,000","Public","Commercial","Istiophorus platypterus","172488"
"1994","TUNAS **","23,000","10","32,000","Public","Commercial","Thunnus","172418"
"1994","CORALS **","4,000","2","77,000","Public","Commercial","Anthozoa","51938"
"1994","SWORDFISH","7,418,000","3,365","16,923,000","Public","Commercial","Xiphias gladius","172482"
"1994","SNAPPER, RED","420,000","191","1,837,000","Public","Commercial","Lutjanus campechanus","168853"
"1994","TUNA, BIGEYE","4,651,000","2,110","18,146,000","Public","Commercial","Thunnus obesus","172428"
"1994","BILLFISHES **","2,147,000","974","2,767,000","Public","Commercial","Istiophoridae","172486"
"1994","CRUSTACEANS **","100,000","45","370,000","Public","Commercial","Crustacea","83677"
"1994","SPEARFISHES **","164,000","74","159,000","Public","Commercial","Tetrapturus ","172498"
"1994","TUNA, ALBACORE","1,415,000","642","1,796,000","Public","Commercial","Thunnus alalunga","172419"
"1994","TUNA, SKIPJACK","1,310,000","594","2,058,000","Public","Commercial","Katsuwonus pelamis","172401"
"1994","TUNA, YELLOWFIN","3,732,000","1,693","9,255,000","Public","Commercial","Thunnus albacares","172423"
"1994","VERTEBRATES, JAWED","3,514,000","1,594","6,193,000","Public","Commercial","Gnathostomata ","914179"
"1994","SHRIMPS, PENAEID **","63,000","29","326,000","Public","Commercial","Penaeidae","95602"
"1994","TUNA, BLUEFIN PACIFIC","94,000","43","1,109,000","Public","Commercial","Thunnus orientalis","172422"
"1994","LOBSTER, CARIBBEAN SPINY","114,000","52","678,000","Public","Commercial","Panulirus argus","97648"
"1994","SNAPPERS, LUTJANIDAE (FAMILY) **","117,000","53","340,000","Public","Commercial","Lutjanidae","168845"
"1994","SHARKS, CHONDRICHTHYES (CLASS) **","1,803,000","818","384,000","Public","Commercial","Chondrichthyes","159785"
"1995","SAILFISH","46,000","21","36,000","Public","Commercial","Istiophorus platypterus","172488"
"1995","TUNAS **","12,000","5","14,000","Public","Commercial","Thunnus","172418"
"1995","CORALS **","6,000","3","123,000","Public","Commercial","Anthozoa","51938"
"1995","SWORDFISH","5,882,000","2,668","12,893,000","Public","Commercial","Xiphias gladius","172482"
"1995","SNAPPER, RED","533,000","242","2,097,000","Public","Commercial","Lutjanus campechanus","168853"
